GeneID,Taxonomy,Length,Reads,EC#
gi|422320815|ref|NZ_GL636045.1|:c59016-58090|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_E3HPD5|UniRef50_A7K0S1,root;k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio;s_Desulfovibrio vulgaris,927,1,0.0.0.0
gi|410101286|ref|NZ_JH976472.1|:122632-123555|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6L9B8|UniRef50_R7JJL0,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,924,1,0.0.0.0
gi|410101286|ref|NZ_JH976472.1|:122632-123555|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6L9B8|UniRef50_R7JJL0,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides caecimuris,924,1,0.0.0.0
gi|410101286|ref|NZ_JH976472.1|:122632-123555|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6L9B8|UniRef50_R7JJL0,root,924,2,0.0.0.0
gi|410101286|ref|NZ_JH976472.1|:122632-123555|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6L9B8|UniRef50_R7JJL0,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides xylanisolvens,924,1,0.0.0.0
gi|522837947|ref|NZ_KE159513.1|:2343130-2344041|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7NRD7|UniRef50_D5EWR9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,912,1,0.0.0.0
gi|410101286|ref|NZ_JH976472.1|:431914-432849|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZLD1|UniRef50_A6LDL3,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,936,1,0.0.0.0
gi|410101286|ref|NZ_JH976472.1|:c311053-310127|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6AL35|UniRef50_Q64XK5,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides salanitronis,927,1,2.5.1.75
gi|410101285|ref|NZ_JH976471.1|:c150274-149474|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LEL8|UniRef50_Q650L9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides fragilis,801,1,3.6.1.27
gi|522837958|ref|NZ_KE159524.1|:120847-121647|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5YRY1|UniRef50_D2QJ17,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas,801,1,0.0.0.0
gi|522837959|ref|NZ_KE159525.1|:49701-50492|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7DFZ4|UniRef50_R7NQ15,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus;s_Enterococcus durans,792,1,0.0.0.0
gi|522837959|ref|NZ_KE159525.1|:49701-50492|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7DFZ4|UniRef50_R7NQ15,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus pneumoniae,792,1,0.0.0.0
gi|522837959|ref|NZ_KE159525.1|:49701-50492|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7DFZ4|UniRef50_R7NQ15,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides thetaiotaomicron,792,1,0.0.0.0
gi|522837956|ref|NZ_KE159522.1|:281254-282042|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZBK6|UniRef50_K5ZBK6,root;k_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Mucilaginibacter;s_Mucilaginibacter gotjawali,789,1,0.0.0.0
gi|522837954|ref|NZ_KE159520.1|:c1238717-1237953|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZUM2|UniRef50_A6LF90,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,765,3,3.1.3.5
gi|410101286|ref|NZ_JH976472.1|:c536466-535702|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7J6H4|UniRef50_C7N794,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,765,1,0.0.0.0
gi|410101285|ref|NZ_JH976471.1|:c454275-453511|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LF14|UniRef50_O83296,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 1i11,765,2,0.0.0.0
gi|522837954|ref|NZ_KE159520.1|:719717-720472|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6Y7R4|UniRef50_B4UHS9,root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Elizabethkingia;s_Elizabethkingia miricola,756,35,0.0.0.0
gi|522837954|ref|NZ_KE159520.1|:719717-720472|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6Y7R4|UniRef50_B4UHS9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,756,1,0.0.0.0
gi|522837954|ref|NZ_KE159520.1|:719717-720472|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6Y7R4|UniRef50_B4UHS9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,756,1,0.0.0.0
gi|410101287|ref|NZ_JH976473.1|:c1085715-1084960|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LFF0|UniRef50_A6KXL2,root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium;s_Flavobacterium psychrophilum,756,1,5.3.1.1
gi|410101287|ref|NZ_JH976473.1|:c1085715-1084960|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LFF0|UniRef50_A6KXL2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,756,2,5.3.1.1
gi|410101287|ref|NZ_JH976473.1|:c1085715-1084960|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LFF0|UniRef50_A6KXL2,root;k_Bacteria,756,1,5.3.1.1
gi|410101287|ref|NZ_JH976473.1|:112138-112977|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6IQD3|UniRef50_F0P1A4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides cellulosilyticus,840,1,2.4.2.19
gi|410101287|ref|NZ_JH976473.1|:112138-112977|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6IQD3|UniRef50_F0P1A4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides helcogenes,840,1,2.4.2.19
gi|522837954|ref|NZ_KE159520.1|:c1140839-1139982|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WKC0|UniRef50_R5CD91,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,858,6,0.0.0.0
gi|410101286|ref|NZ_JH976472.1|:188641-189498|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6A1Y6|UniRef50_R5EPQ9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,858,1,0.0.0.0
gi|410101285|ref|NZ_JH976471.1|:c57731-56907|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LEI8|UniRef50_B1ZNE5,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,825,2,0.0.0.0
gi|522837947|ref|NZ_KE159513.1|:369511-370323|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6XAC6|UniRef50_R5W5H2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Tannerella;s_Tannerella forsythia,813,1,0.0.0.0
gi|522837953|ref|NZ_KE159519.1|:c1293555-1292743|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LHV2|UniRef50_Q7MB61,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Vibrionales;f_Vibrionaceae;g_Vibrio;s_Vibrio sp. HB0308-1A5,813,1,3.5.99.6
gi|522837960|ref|NZ_KE159526.1|:45404-45709|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_Q8A475|UniRef50_C4L7S9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,306,12,0.0.0.0
gi|522837960|ref|NZ_KE159526.1|:45404-45709|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_Q8A475|UniRef50_C4L7S9,root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Robiginitalea;s_Robiginitalea biformata,306,3,0.0.0.0
gi|522837953|ref|NZ_KE159519.1|:1541480-1541794|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZQR3|UniRef50_A5FK98,root;k_Bacteria;p_Verrucomicrobia;c_Methylacidiphilae;o_Methylacidiphilales;f_Methylacidiphilaceae;g_Methylacidiphilum;s_Methylacidiphilum infernorum,315,1,0.0.0.0
gi|522837955|ref|NZ_KE159521.1|:156252-156533|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z1G9|UniRef50_R6KTV4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,282,1,0.0.0.0
gi|410101287|ref|NZ_JH976473.1|:c210588-210319|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LIF9|UniRef50_Q6AD41,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales,270,1,0.0.0.0
gi|410101286|ref|NZ_JH976472.1|:c1139078-1138809|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LIX8|UniRef50_A0M0D8,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,270,2,0.0.0.0
gi|522837953|ref|NZ_KE159519.1|:c1476028-1475666|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_Q650C6|UniRef50_R6MJQ9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,363,1,0.0.0.0
gi|522837947|ref|NZ_KE159513.1|:1445620-1445982|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2AIJ8|UniRef50_A6LBW0,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,363,1,0.0.0.0
gi|522837960|ref|NZ_KE159526.1|:57177-57557|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LEG8|UniRef50_B0JY40,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,381,25,0.0.0.0
gi|522837953|ref|NZ_KE159519.1|:1528497-1528880|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZQQ5|UniRef50_G8UMM4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,384,4,0.0.0.0
gi|410101290|ref|NZ_JH976476.1|:c89197-88865|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WVE8|UniRef50_R6EAJ7,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,333,1,0.0.0.0
gi|522837953|ref|NZ_KE159519.1|:c653923-653594|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6L2C8|UniRef50_A6L2C8,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides vulgatus,330,2,0.0.0.0
gi|522837953|ref|NZ_KE159519.1|:c690054-689704|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZDN9|UniRef50_J1KXZ9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,351,1,0.0.0.0
gi|522837957|ref|NZ_KE159523.1|:119650-120003|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6X5R3|UniRef50_Q5L9B5,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,354,4,0.0.0.0
gi|410101288|ref|NZ_JH976474.1|:c869786-869547|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6L9U9|UniRef50_B2RM15,root;k_Bacteria,240,1,0.0.0.0
gi|522837953|ref|NZ_KE159519.1|:776125-776382|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2AQT7|UniRef50_F9Z6D6,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus gallolyticus,258,1,0.0.0.0
gi|522837953|ref|NZ_KE159519.1|:1319879-1320133|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZTW1|UniRef50_Q8A276,root;k_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Pedobacter;s_Pedobacter sp. PACM 27299,255,1,0.0.0.0
gi|522837953|ref|NZ_KE159519.1|:317513-317767|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WPV3|UniRef50_Q034T0,root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,255,11,0.0.0.0
gi|522837947|ref|NZ_KE159513.1|:833708-833962|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2ALJ1|UniRef50_N2ALJ1,root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,255,1,0.0.0.0
gi|522837957|ref|NZ_KE159523.1|:223649-223870|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2B1Y5|UniRef50_D3IC72,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides fragilis,222,1,0.0.0.0
gi|522837953|ref|NZ_KE159519.1|:c1092553-1092038|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LI78|UniRef50_D9RT31,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,516,64,0.0.0.0
gi|410101286|ref|NZ_JH976472.1|:c791399-790893|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R5DAK3|UniRef50_Q72NR4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,507,3,0.0.0.0
gi|522837954|ref|NZ_KE159520.1|:c1312341-1311823|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6A8S4|UniRef50_K6A8S4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Barnesiellaceae;g_Barnesiella;s_Barnesiella viscericola,519,1,0.0.0.0
gi|522837947|ref|NZ_KE159513.1|:1488087-1488575|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2AIN6|UniRef50_G8UME0,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales,489,2,0.0.0.0
gi|522837956|ref|NZ_KE159522.1|:c287406-286924|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZBK2|UniRef50_R6KAZ2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides ovatus,483,1,0.0.0.0
gi|410101285|ref|NZ_JH976471.1|:c45321-44824|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_unknown|UniRef50_T0NT35,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,498,2,0.0.0.0
gi|522837960|ref|NZ_KE159526.1|:51243-51800|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LEH9|UniRef50_A4SCS1,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,558,3,0.0.0.0
gi|522837953|ref|NZ_KE159519.1|:146994-147548|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5YVJ6|UniRef50_R7JAW8,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,555,1,0.0.0.0
gi|522837954|ref|NZ_KE159520.1|:1419637-1420203|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6AWC6|UniRef50_P26830,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides fragilis,567,1,1.11.1.15
gi|522837947|ref|NZ_KE159513.1|:c2077507-2076941|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R5ND35|UniRef50_R5ND35,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides xylanisolvens,567,1,0.0.0.0
gi|522837947|ref|NZ_KE159513.1|:513021-513560|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_unknown|UniRef50_F4KLU9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,540,1,0.0.0.0
gi|410101286|ref|NZ_JH976472.1|:14417-14968|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7DIS8|UniRef50_R5EYM3,root;k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfobacterales;f_Desulfobulbaceae;g_Desulfotalea;s_Desulfotalea psychrophila,552,2,0.0.0.0
gi|410101286|ref|NZ_JH976472.1|:14417-14968|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7DIS8|UniRef50_R5EYM3,root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,552,2,0.0.0.0
gi|410101286|ref|NZ_JH976472.1|:14417-14968|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7DIS8|UniRef50_R5EYM3,root;k_Bacteria;p_Fusobacteria;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Ilyobacter;s_Ilyobacter polytropus,552,2,0.0.0.0
gi|522837955|ref|NZ_KE159521.1|:209171-209602|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z1E9|UniRef50_R5FZS4,root;k_Bacteria,432,20,0.0.0.0
gi|522837947|ref|NZ_KE159513.1|:1697672-1698097|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2AM79|UniRef50_B3JMC6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides caecimuris,426,1,0.0.0.0
gi|522837960|ref|NZ_KE159526.1|:57569-57958|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LEG7|UniRef50_Q01WB8,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,390,1,0.0.0.0
gi|522837960|ref|NZ_KE159526.1|:57569-57958|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LEG7|UniRef50_Q01WB8,root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium;s_Flavobacterium johnsoniae,390,1,0.0.0.0
gi|410101288|ref|NZ_JH976474.1|:c550790-550392|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6X641|UniRef50_R7JM30,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,399,2,0.0.0.0
gi|522837954|ref|NZ_KE159520.1|:c67246-66776|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WUS9|UniRef50_R5PJL9,root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium;s_Flavobacterium gilvum,471,1,0.0.0.0
gi|522837954|ref|NZ_KE159520.1|:c67246-66776|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WUS9|UniRef50_R5PJL9,root;k_Bacteria;p_Bacteroidetes,471,1,0.0.0.0
gi|410101287|ref|NZ_JH976473.1|:c1105112-1104645|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7JQI6|UniRef50_D5EYS1,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,468,5,0.0.0.0
gi|410101287|ref|NZ_JH976473.1|:c1105112-1104645|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7JQI6|UniRef50_D5EYS1,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella melaninogenica,468,1,0.0.0.0
gi|522837957|ref|NZ_KE159523.1|:120297-120740|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LIX9|UniRef50_A6LIX9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,444,3,0.0.0.0
gi|410101288|ref|NZ_JH976474.1|:260268-260720|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LA87|UniRef50_F4KLR6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,453,2,0.0.0.0
gi|522837954|ref|NZ_KE159520.1|:c1322789-1320990|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WWF6|UniRef50_E4T141,root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium;s_Flavobacterium psychrophilum,1800,2,0.0.0.0
gi|522837954|ref|NZ_KE159520.1|:c1322789-1320990|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WWF6|UniRef50_E4T141,root,1800,3,0.0.0.0
gi|522837954|ref|NZ_KE159520.1|:c1322789-1320990|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WWF6|UniRef50_E4T141,root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae,1800,1,0.0.0.0
gi|522837954|ref|NZ_KE159520.1|:c1322789-1320990|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WWF6|UniRef50_E4T141,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 22g15,1800,4,0.0.0.0
gi|522837954|ref|NZ_KE159520.1|:c1322789-1320990|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WWF6|UniRef50_E4T141,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,1800,1,0.0.0.0
gi|410101285|ref|NZ_JH976471.1|:1672610-1674406|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7J7A8|UniRef50_R6K688,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Yersiniaceae;g_Yersinia;s_Yersinia entomophaga,1797,1,0.0.0.0
gi|410101285|ref|NZ_JH976471.1|:1672610-1674406|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7J7A8|UniRef50_R6K688,root,1797,1,0.0.0.0
gi|410101285|ref|NZ_JH976471.1|:1672610-1674406|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7J7A8|UniRef50_R6K688,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,1797,1,0.0.0.0
gi|522837947|ref|NZ_KE159513.1|:c1282093-1280285|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z8K9|UniRef50_G8UNS6,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,1809,2,0.0.0.0
gi|410101285|ref|NZ_JH976471.1|:c1503161-1501323|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6A1V8|UniRef50_R7H6V2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Tannerella;s_Tannerella forsythia,1839,1,3.6.4.13
gi|410101285|ref|NZ_JH976471.1|:c1503161-1501323|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6A1V8|UniRef50_R7H6V2,root;k_Bacteria;p_Chlamydiae;c_Chlamydiia;o_Parachlamydiales;f_Parachlamydiaceae;g_Parachlamydia;s_Parachlamydia acanthamoebae,1839,1,3.6.4.13
