GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|550260673|ref|NZ_KI440779.1|:146983-147156|1099853|g__Coprobacter.s__Coprobacter_fastidiosus|UniRef90_U5CR87|UniRef50_U5CR87,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides,174,7532,0.0.0.0,43287.356321839085
gi|498503065|ref|NZ_KB822571.1|:824067-824870|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5YRY8|UniRef50_R7JH82,unclassified,804,2,1.5.1.2,2.487562189054726
gi|498503065|ref|NZ_KB822571.1|:2779062-2780669|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_Q5L7N5|UniRef50_Q8D1X9,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Citrobacter;s_Citrobacter freundii,1608,4,4.1.1.49,2.487562189054726
gi|387175335|ref|NZ_JH660545.1|:c317493-317092|457401|g__Escherichia.s__Escherichia_sp_4_1_40B|UniRef90_A7ZT19|UniRef50_A7ZT19,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,402,1,0.0.0.0,2.487562189054726
gi|522837960|ref|NZ_KE159526.1|:42191-42592|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LEJ5|UniRef50_Q1JDK8,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,402,1,0.0.0.0,2.487562189054726
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root,403,1,0.0.0.0,2.4813895781637716
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_Bacteria;p_Deinococcus-Thermus;c_Deinococci;o_Thermales;f_Thermaceae;g_Meiothermus;s_Meiothermus ruber,403,1,0.0.0.0,2.4813895781637716
gi|484202395|ref|NZ_AQUD01000002.1|:113696-114904|384|g__Rhizobium.s__Rhizobium_leguminosarum|UniRef90_H4FC26|UniRef50_A9CEY9,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria,1209,3,0.0.0.0,2.4813895781637716
gi|410101285|ref|NZ_JH976471.1|:1611319-1612530|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZPZ6|UniRef50_R6JJE0,unclassified,1212,3,0.0.0.0,2.4752475247524752
gi|555552016|ref|NZ_KI530588.1|:78933-80144|248039|g__Mucispirillum.s__Mucispirillum_schaedleri|UniRef90_V2PXW3|UniRef50_V2PXW3,unclassified,1212,3,0.0.0.0,2.4752475247524752
gi|384213726|ref|NC_017249.1|:7523638-7524447|375|g__Bradyrhizobium.s__Bradyrhizobium_japonicum|UniRef90_Q89S82|UniRef50_G8PSM5,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium,810,2,0.0.0.0,2.4691358024691357
gi|223958587|ref|NZ_DS999464.1|:c56871-56467|469598|g__Escherichia.s__Escherichia_sp_3_2_53FAA|UniRef90_P0ADX3|UniRef50_P0ADX3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,405,1,0.0.0.0,2.4691358024691357
gi|410101286|ref|NZ_JH976472.1|:707880-708689|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZZP4|UniRef50_R5K7N1,unclassified,810,2,0.0.0.0,2.4691358024691357
gi|224580996|ref|NZ_GG657385.1|:76179-76988|562|g__Shigella.s__Shigella_sp_D9|UniRef90_P63388|UniRef50_P63388,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,810,2,0.0.0.0,2.4691358024691357
gi|416281311|ref|NZ_AERN01000036.1|:c31323-30514|621|g__Shigella.s__Shigella_boydii|UniRef90_P0ACK4|UniRef50_P0ACK4,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,810,2,0.0.0.0,2.4691358024691357
gi|237642448|ref|NZ_GG666323.1|:c712-308|33036|g__Anaerococcus.s__Anaerococcus_tetradius|UniRef90_C2CJ67|UniRef50_C2CJ67,unclassified,405,1,0.0.0.0,2.4691358024691357
gi|490136654|ref|NZ_KB822566.1|:151623-153242|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZJJ8|UniRef50_N1ZJJ8,unclassified,1620,4,0.0.0.0,2.4691358024691357
gi|559185068|ref|NZ_AHHL01000112.1|:19361-20170|562|g__Escherichia.s__Escherichia_coli|UniRef90_Q46836|UniRef50_Q46836,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,810,2,3.4.23.43,2.4691358024691357
gi|498503065|ref|NZ_KB822571.1|:3464759-3465568|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R9HXH6|UniRef50_C6IQ87,unclassified,810,2,0.0.0.0,2.4691358024691357
gi|27375111|ref|NC_004463.1|:352151-352960|1355477|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens|UniRef90_Q89XH9|UniRef50_Q89XH9,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium diazoefficiens,810,2,0.0.0.0,2.4691358024691357
gi|410101288|ref|NZ_JH976474.1|:430565-431779|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R5IM52|UniRef50_W0IXP9,unclassified,1215,3,0.0.0.0,2.4691358024691357
gi|498503065|ref|NZ_KB822571.1|:c6007311-6006097|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R5IM52|UniRef50_W0IXP9,unclassified,1215,3,0.0.0.0,2.4691358024691357
gi|224580996|ref|NZ_GG657385.1|:139860-140669|562|g__Shigella.s__Shigella_sp_D9|UniRef90_P0ACK4|UniRef50_P0ACK4,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,810,2,0.0.0.0,2.4691358024691357
gi|490113602|ref|NZ_AQEI01000187.1|:c3489-2680|562|g__Escherichia.s__Escherichia_coli|UniRef90_unknown|UniRef50_M9G0T9,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,810,2,0.0.0.0,2.4691358024691357
gi|406351888|ref|NZ_JH815275.1|:c56823-56419|457400|g__Escherichia.s__Escherichia_sp_1_1_43|UniRef90_P0ADX3|UniRef50_P0ADX3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,405,1,0.0.0.0,2.4691358024691357
gi|522837956|ref|NZ_KE159522.1|:23044-26286|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_unknown|UniRef50_unknown,unclassified,3243,8,0.0.0.0,2.4668516805427076
gi|498503065|ref|NZ_KB822571.1|:c5169294-5167267|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_unknown|UniRef50_R6M7Y6,unclassified,2028,5,0.0.0.0,2.465483234714004
gi|483985043|ref|NZ_KB892693.1|:189839-191461|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000380040B|UniRef50_R6VHN2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1623,4,0.0.0.0,2.4645717806531113
gi|498503065|ref|NZ_KB822571.1|:c1296271-1294649|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Z292|UniRef50_R5Z191,unclassified,1623,4,0.0.0.0,2.4645717806531113
gi|453067176|ref|NZ_AODN01000003.1|:297829-299451|334542|g__Rhodococcus.s__Rhodococcus_qingshengii|UniRef90_T1VJB3|UniRef50_C7MHL5,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Nocardiaceae;g_Rhodococcus;s_Rhodococcus sp. 008,1623,4,0.0.0.0,2.4645717806531113
gi|490136654|ref|NZ_KB822566.1|:630317-631534|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZIY5|UniRef50_Q46BI1,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Listeriaceae;g_Listeria,1218,3,2.7.2.1,2.4630541871921183
gi|27375111|ref|NC_004463.1|:c6491440-6490628|1355477|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens|UniRef90_G7DPW6|UniRef50_I3TL38,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales,813,2,0.0.0.0,2.4600246002460024
gi|170018061|ref|NC_010468.1|:c2270044-2269637|562|g__Escherichia.s__Escherichia_coli|UniRef90_P06966|UniRef50_P06966,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,408,1,0.0.0.0,2.450980392156863
gi|387175331|ref|NZ_JH660541.1|:c2156340-2155933|457401|g__Escherichia.s__Escherichia_sp_4_1_40B|UniRef90_P08370|UniRef50_P08370,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,408,1,0.0.0.0,2.450980392156863
gi|490138457|ref|NZ_KB822569.1|:192313-192720|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZBG0|UniRef50_Q97FU2,unclassified,408,1,0.0.0.0,2.450980392156863
gi|498503065|ref|NZ_KB822571.1|:c4154499-4154092|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZUY6|UniRef50_R6X7G5,unclassified,408,1,0.0.0.0,2.450980392156863
gi|552876418|ref|NZ_KI515685.1|:c184358-183951|1203635|g__Propionibacterium.s__Propionibacterium_sp_KPL2009|UniRef90_D4HCP8|UniRef50_M9VIJ3,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Propionibacteriales;f_Propionibacteriaceae;g_Cutibacterium;s_Cutibacterium acnes,408,1,0.0.0.0,2.450980392156863
gi|410101285|ref|NZ_JH976471.1|:c678551-678144|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6A6E5|UniRef50_R7J9L0,unclassified,408,1,0.0.0.0,2.450980392156863
gi|425308538|ref|NZ_JH965528.1|:2482-2889|562|g__Escherichia.s__Escherichia_coli|UniRef90_K3K5B7|UniRef50_K3K5B7,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,408,1,0.0.0.0,2.450980392156863
gi|448879098|ref|NZ_KB375282.1|:38431-39654|56946|g__Afipia.s__Afipia_broomeae|UniRef90_E6VLG2|UniRef50_Q98P54,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Rhodopseudomonas;s_Rhodopseudomonas palustris,1224,3,0.0.0.0,2.450980392156863
gi|498503065|ref|NZ_KB822571.1|:2102992-2103807|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6A6T5|UniRef50_K6A6T5,unclassified,816,2,0.0.0.0,2.450980392156863
gi|522837947|ref|NZ_KE159513.1|:c1310617-1309391|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2AHJ8|UniRef50_K6A8C4,unclassified,1227,3,0.0.0.0,2.4449877750611244
gi|490134789|ref|NZ_KB822565.1|:c794353-793126|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZDK9|UniRef50_N1ZDK9,unclassified,1228,3,0.0.0.0,2.44299674267101
gi|498503065|ref|NZ_KB822571.1|:c3306690-3305461|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R5JU63|UniRef50_R6J655,unclassified,1230,3,0.0.0.0,2.4390243902439024
gi|555554588|ref|NZ_KI530593.1|:2739-4379|248039|g__Mucispirillum.s__Mucispirillum_schaedleri|UniRef90_V2Q7N5|UniRef50_V2Q7N5,unclassified,1641,4,3.6.1.1,2.437538086532602
gi|498503065|ref|NZ_KB822571.1|:2823163-2824803|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5YUF0|UniRef50_P14407,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Yersiniaceae;g_Yersinia,1641,4,4.2.1.2,2.437538086532602
gi|392388518|ref|NC_017521.1|:235230-235640|2105|g__Mycoplasma.s__Mycoplasma_leachii|UniRef90_unknown|UniRef50_Q6F1U9,unclassified,411,1,0.0.0.0,2.4330900243309004
gi|498503065|ref|NZ_KB822571.1|:530256-530666|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZD23|UniRef50_K5ZD23,unclassified,411,1,0.0.0.0,2.4330900243309004
gi|410101287|ref|NZ_JH976473.1|:c1167155-1165512|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5YG52|UniRef50_R6ZK47,unclassified,1644,4,0.0.0.0,2.4330900243309004
gi|416278207|ref|NZ_AERN01000002.1|:c22508-22098|621|g__Shigella.s__Shigella_boydii|UniRef90_P26608|UniRef50_P26608,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,411,1,0.0.0.0,2.4330900243309004
gi|417724246|ref|NZ_AFGZ01000054.1|:50097-50507|623|g__Shigella.s__Shigella_flexneri|UniRef90_A7ZQA5|UniRef50_B4T381,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,411,1,0.0.0.0,2.4330900243309004
gi|406351884|ref|NZ_JH815271.1|:578359-578769|457400|g__Escherichia.s__Escherichia_sp_1_1_43|UniRef90_P0AAW7|UniRef50_P0AAW7,root,411,1,0.0.0.0,2.4330900243309004
gi|498503065|ref|NZ_KB822571.1|:1758859-1761324|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_unknown|UniRef50_unknown,unclassified,2466,6,5.1.1.1,2.4330900243309
gi|498503065|ref|NZ_KB822571.1|:4893234-4894880|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R5DA56|UniRef50_O83553,root;k_;p_;c_;o_;f_;g_;s_uncultured organism,1647,4,2.7.1.90,2.428658166363084
gi|522837953|ref|NZ_KE159519.1|:c16126-14480|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R5DA56|UniRef50_O83553,unclassified,1647,4,2.7.1.90,2.428658166363084
gi|498503065|ref|NZ_KB822571.1|:c1275622-1274798|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_A6LEI8|UniRef50_B1ZNE5,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,825,2,0.0.0.0,2.4242424242424243
gi|522837947|ref|NZ_KE159513.1|:1331017-1331841|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6X8V2|UniRef50_C7NRE5,unclassified,825,2,4.1.3.36,2.4242424242424243
gi|498503065|ref|NZ_KB822571.1|:c3334126-3333299|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6ADC4|UniRef50_K6ADC4,unclassified,828,2,0.0.0.0,2.4154589371980677
gi|498503065|ref|NZ_KB822571.1|:3486219-3487874|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_D4VKI7|UniRef50_R6D207,unclassified,1656,4,0.0.0.0,2.4154589371980677
gi|406351884|ref|NZ_JH815271.1|:387760-388173|457400|g__Escherichia.s__Escherichia_sp_1_1_43|UniRef90_D2TMN6|UniRef50_D2TMN6,root;k_Bacteria,414,1,0.0.0.0,2.4154589371980677
gi|487653291|ref|NZ_AQEQ01000016.1|:298464-298877|562|g__Escherichia.s__Escherichia_coli|UniRef90_D2TMN6|UniRef50_D2TMN6,root;k_Bacteria,414,1,0.0.0.0,2.4154589371980677
gi|410101287|ref|NZ_JH976473.1|:c140505-139678|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZHH6|UniRef50_R6WM72,unclassified,828,2,0.0.0.0,2.4154589371980677
gi|490137351|ref|NZ_KB822567.1|:237461-237874|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZD77|UniRef50_N1ZD77,unclassified,414,1,0.0.0.0,2.4154589371980677
gi|410101286|ref|NZ_JH976472.1|:1105639-1107294|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WYR0|UniRef50_C9RPS9,unclassified,1656,4,0.0.0.0,2.4154589371980677
gi|335050542|ref|NZ_AFIK01000013.1|:c28316-27903|936047|g__Propionibacterium.s__Propionibacterium_sp_409_HC1|UniRef90_F9YZQ3|UniRef50_K7RM23,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Propionibacteriales;f_Propionibacteriaceae;g_Cutibacterium;s_Cutibacterium acnes,414,1,0.0.0.0,2.4154589371980677
gi|522837955|ref|NZ_KE159521.1|:99734-100147|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2BGP8|UniRef50_H2J8K1,unclassified,414,1,0.0.0.0,2.4154589371980677
gi|490136654|ref|NZ_KB822566.1|:619775-621433|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZD33|UniRef50_R5ADL8,unclassified,1659,4,0.0.0.0,2.4110910186859553
gi|68062439|ref|XM_668134.1||5821|g__Plasmodium.s__Plasmodium_berghei|UniRef90_Q4YAB8|UniRef50_Q4YAB8,unclassified,415,1,0.0.0.0,2.4096385542168677
gi|498503065|ref|NZ_KB822571.1|:c763521-762277|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZZX1|UniRef50_R6Y7Z1,unclassified,1245,3,0.0.0.0,2.4096385542168672
gi|490136654|ref|NZ_KB822566.1|:c14961-12472|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZIG6|UniRef50_P72524,unclassified,2490,6,5.99.1.3,2.4096385542168672
gi|483984517|ref|NZ_KB892637.1|:c491488-490658|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035D959F|UniRef50_R6WHD4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,831,2,0.0.0.0,2.406738868832732
gi|563202922|gb|AYWX01000007.1|:c215178-214348|1287085|g__Mesorhizobium.s__Mesorhizobium_loti|UniRef90_E8T741|UniRef50_Q8UC79,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Phyllobacteriaceae;g_Mesorhizobium;s_Mesorhizobium ciceri,831,2,0.0.0.0,2.406738868832732
gi|410101285|ref|NZ_JH976471.1|:1433139-1434800|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6A283|UniRef50_K6A283,unclassified,1662,4,0.0.0.0,2.406738868832732
gi|522837955|ref|NZ_KE159521.1|:c313962-313129|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Y7R8|UniRef50_K5Y7R8,unclassified,834,2,0.0.0.0,2.3980815347721824
gi|483984803|ref|NZ_KB892671.1|:c252033-251200|33035|g__Blautia.s__Blautia_producta|UniRef90_R9NPN0|UniRef50_D9R2Y3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,834,2,0.0.0.0,2.3980815347721824
gi|490137351|ref|NZ_KB822567.1|:c109930-108680|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZCY0|UniRef50_N1ZCY0,unclassified,1251,3,0.0.0.0,2.3980815347721824
gi|498503065|ref|NZ_KB822571.1|:c4326410-4325994|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6AH70|UniRef50_K6AH70,unclassified,417,1,0.0.0.0,2.3980815347721824
gi|498503065|ref|NZ_KB822571.1|:6830156-6830572|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZLB8|UniRef50_R5J7Q1,unclassified,417,1,0.0.0.0,2.3980815347721824
gi|498503065|ref|NZ_KB822571.1|:5619953-5620369|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2AUE3|UniRef50_E1WWI6,unclassified,417,1,5.2.1.8,2.3980815347721824
gi|552902020|ref|NZ_AXMK01000001.1|:727917-728333|1203575|g__Propionibacterium.s__Propionibacterium_sp_KPL1849|UniRef90_M9VNZ9|UniRef50_M9VNZ9,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Propionibacteriales;f_Propionibacteriaceae;g_Cutibacterium;s_Cutibacterium acnes,417,1,0.0.0.0,2.3980815347721824
gi|224581004|ref|NZ_GG657393.1|:46435-46851|562|g__Shigella.s__Shigella_sp_D9|UniRef90_P52096|UniRef50_P52096,unclassified,417,1,0.0.0.0,2.3980815347721824
gi|498503065|ref|NZ_KB822571.1|:c607364-606531|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Y7R8|UniRef50_K5Y7R8,unclassified,834,2,0.0.0.0,2.3980815347721824
gi|552902183|ref|NZ_AXML01000002.1|:c392090-391674|1203574|g__Propionibacterium.s__Propionibacterium_sp_KPL1847|UniRef90_M9VNZ9|UniRef50_M9VNZ9,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Propionibacteriales;f_Propionibacteriaceae;g_Cutibacterium;s_Cutibacterium acnes,417,1,0.0.0.0,2.3980815347721824
gi|486470040|ref|NZ_AQAX01000019.1|:178-594|562|g__Escherichia.s__Escherichia_coli|UniRef90_N4AP54|UniRef50_E7J6M8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,417,1,0.0.0.0,2.3980815347721824
gi|483984581|ref|NZ_KB892645.1|:17674-18507|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000381CDF4|UniRef50_R5YLE0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,834,2,0.0.0.0,2.3980815347721824
gi|512436187|ref|NZ_KE159475.1|:106206-112055|821|g__Bacteroides.s__Bacteroides_vulgatus|UniRef90_unknown|UniRef50_unknown,unclassified,5850,14,0.0.0.0,2.393162393162393
gi|555552016|ref|NZ_KI530588.1|:40537-41790|248039|g__Mucispirillum.s__Mucispirillum_schaedleri|UniRef90_V2QA98|UniRef50_D4H857,unclassified,1254,3,6.1.1.21,2.3923444976076556
gi|483984541|ref|NZ_KB892639.1|:c166376-164286|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_D4KXM9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2091,5,0.0.0.0,2.391200382592061
gi|452303148|ref|NZ_AEMF01000001.1|:682497-684593|754333|g__Escherichia.s__Escherichia_sp_TW11588|UniRef90_unknown|UniRef50_X7LA43,root;k_Bacteria,2097,5,0.0.0.0,2.384358607534573
gi|498503065|ref|NZ_KB822571.1|:4466214-4468730|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZEB4|UniRef50_R5GTU4,unclassified,2517,6,0.0.0.0,2.3837902264600714
gi|490136654|ref|NZ_KB822566.1|:503005-503424|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZEJ2|UniRef50_F8EI39,unclassified,420,1,0.0.0.0,2.380952380952381
gi|490136654|ref|NZ_KB822566.1|:961245-961664|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZIY9|UniRef50_N1ZIY9,unclassified,420,1,0.0.0.0,2.380952380952381
gi|490134789|ref|NZ_KB822565.1|:c694499-693660|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZGY5|UniRef50_R6QEX1,unclassified,840,2,0.0.0.0,2.380952380952381
gi|490136654|ref|NZ_KB822566.1|:1016891-1017310|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZE65|UniRef50_N1ZE65,unclassified,420,1,0.0.0.0,2.380952380952381
gi|82775382|ref|NC_007606.1|:36265-37104|622|g__Shigella.s__Shigella_dysenteriae|UniRef90_Q32K79|UniRef50_Q32K79,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,840,2,0.0.0.0,2.380952380952381
gi|224223434|ref|NZ_DS480346.1|:c181350-180931|1535|g__Clostridium.s__Clostridium_leptum|UniRef90_A7VSA7|UniRef50_A7VSA7,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus subtilis,420,1,0.0.0.0,2.380952380952381
gi|483984778|ref|NZ_KB892668.1|:10554-11393|33035|g__Blautia.s__Blautia_producta|UniRef90_R6VAZ1|UniRef50_Q58094,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,840,2,0.0.0.0,2.380952380952381
gi|365926852|ref|NZ_AEME01000001.1|:c2133807-2133388|754331|g__Escherichia.s__Escherichia_sp_TW09308|UniRef90_A1AHR3|UniRef50_A1AHR3,unclassified,420,1,0.0.0.0,2.380952380952381
gi|224223434|ref|NZ_DS480346.1|:c181350-180931|1535|g__Clostridium.s__Clostridium_leptum|UniRef90_A7VSA7|UniRef50_A7VSA7,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria,420,1,0.0.0.0,2.380952380952381
gi|498503065|ref|NZ_KB822571.1|:c4178546-4177707|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R6IQD3|UniRef50_F0P1A4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides helcogenes,840,2,2.4.2.19,2.380952380952381
gi|224223434|ref|NZ_DS480346.1|:c181350-180931|1535|g__Clostridium.s__Clostridium_leptum|UniRef90_A7VSA7|UniRef50_A7VSA7,root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae,420,1,0.0.0.0,2.380952380952381
gi|498503065|ref|NZ_KB822571.1|:c200505-199666|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6A1H7|UniRef50_K6A1H7,unclassified,840,2,0.0.0.0,2.380952380952381
gi|498503065|ref|NZ_KB822571.1|:c1134859-1133177|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6AI11|UniRef50_K6AI11,unclassified,1683,4,0.0.0.0,2.3767082590612003
gi|483997274|ref|NZ_KB893805.1|:253777-255039|375|g__Bradyrhizobium.s__Bradyrhizobium_japonicum|UniRef90_I0G294|UniRef50_A1WQ41,unclassified,1263,3,0.0.0.0,2.3752969121140146
